,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,open-close,low-high,target,day,month,year,is_quarter_end
0,2019-01-02 05:00:00+00:00,21.84277946971115,22.804296689227307,21.7792832943857,22.641019821166992,71836300,0.0,0.0,-0.798240351455842,-1.0250133948416078,0,2,1,2019,0
1,2019-01-03 05:00:00+00:00,22.622875099639952,22.7135846462102,22.17840022460053,22.27817916870117,66599600,0.0,0.0,0.3446959309387836,-0.5351844216096708,1,3,1,2019,0
2,2019-01-04 05:00:00+00:00,22.76800739859509,23.26690725948358,22.704511241406436,23.20341110229492,83829100,0.0,0.0,-0.43540370369982995,-0.5623960180771448,0,4,1,2019,0
3,2019-01-07 05:00:00+00:00,23.185272216796875,23.384833574254102,22.940358679226016,23.185272216796875,57016300,0.0,0.0,0.0,-0.4444748950280868,0,7,1,2019,0
4,2019-01-08 05:00:00+00:00,23.33040778826509,23.393905687492357,22.758940536346547,23.13991928100586,67339400,0.0,0.0,0.19048850725923216,-0.6349651511458099,1,8,1,2019,0
5,2019-01-09 05:00:00+00:00,23.28505126515245,23.448328098861214,23.0310648871454,23.36668968200684,69707200,0.0,0.0,-0.0816384168543891,-0.41726321171581304,0,9,1,2019,0
6,2019-01-10 05:00:00+00:00,23.185275614102164,23.38483700080084,23.05828326266921,23.33948135375977,65235800,0.0,0.0,-0.15420573965760553,-0.32655373813162925,1,10,1,2019,0
7,2019-01-11 05:00:00+00:00,23.158062445272108,23.62067963406547,23.09456454355697,23.611608505249023,63476000,0.0,0.0,-0.4535460599769152,-0.526115090508501,1,11,1,2019,0
8,2019-01-14 05:00:00+00:00,23.375761686365504,24.01979618777625,23.23062710209997,23.92001724243164,76715400,0.0,0.0,-0.5442555560661368,-0.7891690856762814,1,14,1,2019,0
9,2019-01-15 05:00:00+00:00,23.7748805877608,24.319136136037585,23.629746005572414,24.08329200744629,80625500,0.0,0.0,-0.3084114196854877,-0.6893901304651706,1,15,1,2019,0
10,2019-01-16 05:00:00+00:00,25.516499406276317,26.0516838709886,25.271585859994747,25.80677032470703,163131700,0.0,0.0,-0.2902709184307142,-0.7800980109938536,1,16,1,2019,0
11,2019-01-17 05:00:00+00:00,25.706992674618505,26.30567337861713,25.480219628251117,26.296602249145508,107428800,0.0,0.0,-0.5896095745270031,-0.8254537503660124,1,17,1,2019,0
12,2019-01-18 05:00:00+00:00,26.3238122639442,26.72293152869879,26.042612476785187,26.57779693603516,97928200,0.0,0.0,-0.25398467209096154,-0.6803190519136031,0,18,1,2019,0
13,2019-01-22 05:00:00+00:00,26.287525540509197,26.57779470143126,26.20588712273228,26.387306213378903,84861400,0.0,0.0,-0.09978067286970571,-0.3719075786989805,0,22,1,2019,0
14,2019-01-23 05:00:00+00:00,26.50523165521272,26.55965842920592,25.96097775640837,26.233104705810547,79425900,0.0,0.0,0.27212694940217474,-0.5986806727975527,1,23,1,2019,0
15,2019-01-24 05:00:00+00:00,26.078898348746367,26.48709049321789,26.06982721996468,26.37823867797852,59492300,0.0,0.0,-0.2993403292321517,-0.4172632732532122,1,24,1,2019,0
16,2019-01-25 05:00:00+00:00,26.55966014241945,26.95877946326878,26.432666058384605,26.831787109375,72182100,0.0,0.0,-0.2721269669555504,-0.5261134048841747,1,25,1,2019,0
17,2019-01-28 05:00:00+00:00,26.595938184113816,26.91342074232913,26.56872653035928,26.87713623046875,59963800,0.0,0.0,-0.28119804635493395,-0.3446942119698484,0,28,1,2019,0
